,Coefficient,Std Error,p-value
Intercept,0.2930565706846112,0.06541704787450596,7.470616608235911e-06
age_at_entry_years,-0.0077186772738469245,0.004156225157014192,0.06329174217198426
is_black,0.003590205704947919,0.047471299482769944,0.9397142840400432
is_hispanic,-0.03045255263383735,0.05112842973160675,0.5514364663772171
is_male,-0.04960470002487959,0.041105057812701504,0.22751745798624912
total_placements,0.0005671533325601756,0.014357757012367814,0.9684905357500809
has_indicated_finding,-0.0019335448552258246,0.04275031410090152,0.9639249489296721
initial_county Var,1.856039798043803e-05,,
